SIZE, DENSITY, TIME_TO_CREATE
50, 0, 0.020043099999838887
50, 0.1, 0.026309699999728764
50, 0.2, 0.028492800000094576
50, 0.3, 0.03228620000027149
50, 0.4, 0.03316180000001623
100, 0, 0.08740349999970931
100, 0.1, 0.1058258000002752
100, 0.2, 0.11469799999986208
100, 0.3, 0.12703069999997751
100, 0.4, 0.13747779999994236
500, 0, 2.106075300000157
500, 0.1, 2.723931399999856
500, 0.2, 3.0355704999997215
500, 0.3, 3.322027700000035
500, 0.4, 3.6464011000002756
1000, 0, 8.550253299999895
1000, 0.1, 11.23168940000005
1000, 0.2, 13.26118329999963
1000, 0.3, 15.008676500000092
1000, 0.4, 16.247174300000097
2500, 0, 52.70630859999983
2500, 0.1, 74.5749693000007
2500, 0.2, 99.81389990000025
2500, 0.3, 113.50748980000026
2500, 0.4, 130.9195990999997
